 25.8298003556,0
 36.490258,1
 36.423176,2
 35.141288,3
 27.8443753333,4
 30.2916015556,5
 27.7179117778,6
 30.0739384444,7
 31.5765042222,8
 27.1506108889,9
 30.2231222222,10
 23.8130144444,11
 26.8269848889,12
 25.6270435556,13
 29.6622015373,14
 34.5438571111,15
 28.326293708,16
 21.8084075556,17
 28.8056873333,18
 26.3546633333,19
 27.9539297778,20
 32.21381,21
 33.9565946667,22
 28.0663397778,23
 26.9667542222,24
 29.2799007383,25
 27.2661077778,26
 29.6496835556,27
 36.4105722222,28
 36.3201998889,29
 34.0160695556,30
 32.58098,31
 24.4490295556,32
 21.707676,33
 29.3068266667,34
 32.8021246667,35
 39.0340315556,36
 30.4477128013,37
 29.0608473333,38
 27.8146289065,39
 29.3458966208,40
 27.2395273549,41
 20.8751535113,42
 26.0595325166,43
 26.4205715283,44
 16.0654231356,45
 28.5946621494,46
 32.2420121475,47
 29.5731862452,48
 29.9772913054,49
 30.6310973333,50
 29.7408800289,51
 20.6947706173,52
 19.5865877656,53
 32.0812755567,54
 29.3722819942,55
 16.0788158241,56
 38.1388665129,57
 33.4377609232,58
 33.0921900067,59
 38.6794997778,60
