road_segment_id,time_stamp,traffic_speed,day,week_day,time,hour,min
1802838360064, 0, 41.3480687196,0,saturday,0.0,0,0
1802838360064, 1, 37.2413564444,0,saturday,0.15,0,15
1802838360064, 2, 33.83275,0,saturday,0.30,0,30
1802838360064, 3, 40.4034444444,0,saturday,0.45,0,45
1802838360064, 4, 49.8430573333,0,saturday,1.0,1,0
1802838360064, 5, 53.7421175556,0,saturday,1.15,1,15
1802838360064, 6, 47.9850506667,0,saturday,1.30,1,30
1802838360064, 7, 44.1353671111,0,saturday,1.45,1,45
1802838360064, 8, 43.2176513333,0,saturday,2.0,2,0
1802838360064, 9, 43.6992624444,0,saturday,2.15,2,15
1802838360064, 10, 44.3850304444,0,saturday,2.30,2,30
1802838360064, 11, 37.7521095556,0,saturday,2.45,2,45
1802838360064, 12, 45.4259548889,0,saturday,3.0,3,0
1802838360064, 13, 52.4822535556,0,saturday,3.15,3,15
1802838360064, 14, 50.4736057778,0,saturday,3.30,3,30
1802838360064, 15, 46.0167477778,0,saturday,3.45,3,45
1802838360064, 16, 50.2729982222,0,saturday,4.0,4,0
1802838360064, 17, 52.6590691111,0,saturday,4.15,4,15
1802838360064, 18, 40.3081048889,0,saturday,4.30,4,30
1802838360064, 19, 31.8779862222,0,saturday,4.45,4,45
1802838360064, 20, 30.9453333333,0,saturday,5.0,5,0
1802838360064, 21, 42.1836331111,0,saturday,5.15,5,15
1802838360064, 22, 49.2451793333,0,saturday,5.30,5,30
1802838360064, 23, 45.7657717778,0,saturday,5.45,5,45
1802838360064, 24, 39.9060162222,0,saturday,6.0,6,0
1802838360064, 25, 36.0333726667,0,saturday,6.15,6,15
1802838360064, 26, 34.7050577778,0,saturday,6.30,6,30
1802838360064, 27, 31.6920111111,0,saturday,6.45,6,45
1802838360064, 28, 26.6797113333,0,saturday,7.0,7,0
1802838360064, 29, 24.4311135556,0,saturday,7.15,7,15
1802838360064, 30, 26.0215411333,0,saturday,7.30,7,30
1802838360064, 31, 22.7213548444,0,saturday,7.45,7,45
1802838360064, 32, 15.0768515333,0,saturday,8.0,8,0
1802838360064, 33, 18.5716056,0,saturday,8.15,8,15
1802838360064, 34, 25.3057177778,0,saturday,8.30,8,30
1802838360064, 35, 23.2678246667,0,saturday,8.45,8,45
1802838360064, 36, 17.7914976444,0,saturday,9.0,9,0
1802838360064, 37, 17.0776422222,0,saturday,9.15,9,15
1802838360064, 38, 24.3130194667,0,saturday,9.30,9,30
1802838360064, 39, 27.4593637778,0,saturday,9.45,9,45
1802838360064, 40, 29.6670297778,0,saturday,10.0,10,0
1802838360064, 41, 34.9422915556,0,saturday,10.15,10,15
1802838360064, 42, 38.2864304444,0,saturday,10.30,10,30
1802838360064, 43, 40.8777226667,0,saturday,10.45,10,45
1802838360064, 44, 41.48635,0,saturday,11.0,11,0
1802838360064, 45, 38.15806,0,saturday,11.15,11,15
1802838360064, 46, 34.5803148889,0,saturday,11.30,11,30
1802838360064, 47, 29.3557944444,0,saturday,11.45,11,45
1802838360064, 48, 22.6424368889,0,saturday,12.0,12,0
1802838360064, 49, 22.4298322222,0,saturday,12.15,12,15
1802838360064, 50, 26.4119002222,0,saturday,12.30,12,30
1802838360064, 51, 32.1660191111,0,saturday,12.45,12,45
1802838360064, 52, 41.7218062222,0,saturday,13.0,13,0
1802838360064, 53, 45.0956984444,0,saturday,13.15,13,15
1802838360064, 54, 41.8175708889,0,saturday,13.30,13,30
1802838360064, 55, 41.6488851111,0,saturday,13.45,13,45
1802838360064, 56, 40.4501968736,0,saturday,14.0,14,0
1802838360064, 57, 37.0034668966,0,saturday,14.15,14,15
1802838360064, 58, 34.2353876628,0,saturday,14.30,14,30
1802838360064, 59, 32.1952757778,0,saturday,14.45,14,45
1802838360064, 60, 29.6199654444,0,saturday,15.0,15,0
1802838360064, 61, 24.0972018222,0,saturday,15.15,15,15
1802838360064, 62, 18.4399218,0,saturday,15.30,15,30
1802838360064, 63, 22.6952498444,0,saturday,15.45,15,45
1802838360064, 64, 28.9274622,0,saturday,16.0,16,0
1802838360064, 65, 30.4543653333,0,saturday,16.15,16,15
1802838360064, 66, 33.00369,0,saturday,16.30,16,30
1802838360064, 67, 30.2048042222,0,saturday,16.45,16,45
1802838360064, 68, 24.51665,0,saturday,17.0,17,0
1802838360064, 69, 25.9024228889,0,saturday,17.15,17,15
1802838360064, 70, 30.2026734444,0,saturday,17.30,17,30
1802838360064, 71, 31.1282272222,0,saturday,17.45,17,45
1802838360064, 72, 25.8298003556,0,saturday,18.0,18,0
1802838360064, 73, 17.9361855556,0,saturday,18.15,18,15
1802838360064, 74, 13.407323,0,saturday,18.30,18,30
1802838360064, 75, 12.167072,0,saturday,18.45,18,45
1802838360064, 76, 18.4622792,0,saturday,19.0,19,0
1802838360064, 77, 28.6844018889,0,saturday,19.15,19,15
1802838360064, 78, 31.9037324444,0,saturday,19.30,19,30
1802838360064, 79, 31.4730404444,0,saturday,19.45,19,45
1802838360064, 80, 34.3607375556,0,saturday,20.0,20,0
1802838360064, 81, 34.2976173333,0,saturday,20.15,20,15
1802838360064, 82, 30.6132717778,0,saturday,20.30,20,30
1802838360064, 83, 29.6243026667,0,saturday,20.45,20,45
1802838360064, 84, 35.3670633333,0,saturday,21.0,21,0
1802838360064, 85, 39.4383144444,0,saturday,21.15,21,15
1802838360064, 86, 37.7656575556,0,saturday,21.30,21,30
1802838360064, 87, 44.0670251111,0,saturday,21.45,21,45
1802838360064, 88, 45.5910928889,0,saturday,22.0,22,0
1802838360064, 89, 44.9293415556,0,saturday,22.15,22,15
1802838360064, 90, 46.1609504444,0,saturday,22.30,22,30
1802838360064, 91, 44.1012606667,0,saturday,22.45,22,45
1802838360064, 92, 47.048964,0,saturday,23.0,23,0
1802838360064, 93, 45.2252657778,0,saturday,23.15,23,15
1802838360064, 94, 45.9974242222,0,saturday,23.30,23,30
1802838360064, 95, 53.0969928889,0,saturday,23.45,23,45
1802838360064, 96, 49.1788097778,1,sunday,0.0,0,0
1802838360064, 97, 46.4181193333,1,sunday,0.15,0,15
1802838360064, 98, 43.8251122222,1,sunday,0.30,0,30
1802838360064, 99, 43.6574486667,1,sunday,0.45,0,45
1802838360064, 100, 44.3502175556,1,sunday,1.0,1,0
1802838360064, 101, 37.975008,1,sunday,1.15,1,15
1802838360064, 102, 45.7895657778,1,sunday,1.30,1,30
1802838360064, 103, 54.0615313333,1,sunday,1.45,1,45
1802838360064, 104, 43.576682,1,sunday,2.0,2,0
1802838360064, 105, 39.4063286667,1,sunday,2.15,2,15
1802838360064, 106, 43.5888024444,1,sunday,2.30,2,30
1802838360064, 107, 42.5026655556,1,sunday,2.45,2,45
1802838360064, 108, 39.946128,1,sunday,3.0,3,0
1802838360064, 109, 48.8532164444,1,sunday,3.15,3,15
1802838360064, 110, 62.2274935556,1,sunday,3.30,3,30
1802838360064, 111, 59.2351717778,1,sunday,3.45,3,45
1802838360064, 112, 49.3316657778,1,sunday,4.0,4,0
1802838360064, 113, 47.0715315556,1,sunday,4.15,4,15
1802838360064, 114, 53.9116888889,1,sunday,4.30,4,30
1802838360064, 115, 52.8187795556,1,sunday,4.45,4,45
1802838360064, 116, 43.536074,1,sunday,5.0,5,0
1802838360064, 117, 37.790604,1,sunday,5.15,5,15
1802838360064, 118, 35.7976497778,1,sunday,5.30,5,30
